"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET_URL";"DESCRIPTION";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE_DESIGNATOR";"PIN_COUNT";"POPULARITY";"SPICEPREFIX";
"1";"";"HDR_1X2_";"1X02";"J4";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"JP1Q_";"1X02";"JP6";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";
"1";"";"PINHD-1X3";"1X03";"J10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";
"3";"";"PINHD-1X4";"1X04";"J7, J8, J9";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";
"1";"";"PINHD-1X7";"1X07";"J11";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"2";"";"PINHD-2X8";"2X08";"J5, J6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";
"8";"0.1u";"C-EUC0603";"C0603";"C10, C11, C14, C15, C16, C19, C20, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"0R";"R-US_R0402";"R0402";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"34";"R";
"4";"0R";"R-US_R0805";"R0805";"R16, R33, R34, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"6";"1.37M";"R-US_R0805";"R0805";"R14, R15, R22, R23, R28, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"3";"100n";"C-EUC0402";"C0402";"C1, C5, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"10k";"R-US_R0603";"R0603";"R36";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"10u";"POLARIZED_CAP";"A/3216-18R";"C2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"12p";"C-EUC0402";"C0402";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"1M";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"2";"1k";"R-US_R0603";"R0603";"R2, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"6";"1k";"R-US_R0805";"R0805";"R10, R11, R17, R18, R24, R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"1";"1n";"C-EUC0402";"C0402";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"3";"1n";"C-EUC0805";"C0805";"C17, C21, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";
"1";"1n";"C-EUC1206";"C1206";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1u";"C-EUC0805";"C0805";"C9, C12, C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";
"1";"200R";"R-US_R0805";"R0805";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"1";"27R";"R-US_R0805";"R0805";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"2";"2k";"R-US_R0603";"R0603";"R3, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"32.768kHz";"MS3V-T1R";"MS3V-T1R";"Y1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470R";"R-US_R0603";"R0603";"R8, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"470n";"C-EUC0402";"C0402";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"470n";"C-EUC0805";"C0805";"C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";
"1";"47k";"R-US_R0402";"R0402";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"34";"R";
"1";"5.1M";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"6";"5.6k";"R-US_R0805";"R0805";"R12, R13, R20, R21, R26, R27";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";
"1";"750R";"R-US_R0603";"R0603";"R32";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"ADS7841E_2K5";"ADS7841E_2K5";"DBQ16";"U3";"";"http://www.ti.com/lit/gpn/ADS7841";"12-Bit, 4-Channel Serial Output Sampling Analog-to-Digital Converter";"PRECISION ADC (<=10MSPS)";"ADS7841";"SSOP/QSOP";"Texas Instruments";"";"";"";"";"DBQ";"16";"";"";
"2";"ARDUCAM_OV5642";"ARDUCAM_OV5642";"ARDUCAM";"A2, A3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CSTCR4M00G15L99";"CSTCR4M00G15L996M00G53Z";"MURATA-FILTER_CSTCR";"Y2";"";"";"";"";"";"";"";"";"CSTCR6M00G53-R0";"1170434";"25M8759";"";"";"";"";
"1";"HDR_10_EZFET_DEBUGGER";"HDR_10_EZFET_DEBUGGER";"HDRV10W66P254_10X1_2540X254H858";"J1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"HDR_2X5_GRPB052VWQS-RC";"HDR_2X5_GRPB052VWQS-RC";"GRPB052VWQS-RC";"J3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"HMC1053PA0242";"HMC1053PA0242";"PA0242";"A1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IRLML2246TRPBF";"IRLML2246TRPBF";"SOT23-3P95_237X112L25X40N_MICRO3";"Q3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IRLML6246TRPBF";"IRLML6246TRPBF";"SOT23-3P95_237X112L25X40N_MICRO3";"Q2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"LMV321";"LMV321";"SOT23-5P65_210X110L36X22N";"U2, U4, U5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MSP430F5529IPN";"MSP430F5529IPN";"QFP80P50_1400X1400X160L60X22N";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"MTGP700H400";"MTGP700H400";"MTGP700H400";"MH1, MH2, MH3, MH4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MTI-1_8428-11B1-RK-TP";"MTI-1_8428-11B1-RK-TP";"PLCC-28_SOCKET_TH";"J2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PMV16XN";"PMV16XN";"SOT23-3P95_230X110L20X43N_PMV16XN";"Q1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RST";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"";"72";"";
"5";"TESTPOINT";"TESTPOINT";"TP_P76H50";"TP1, TP2, TP3, TP4, TP5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
