"Part";"Value";"Device";"Package";"Description";"";
"A1";"HMC1053PA0242";"HMC1053PA0242";"PA0242";"";"";
"A2";"ARDUCAM_OV5642";"ARDUCAM_OV5642";"ARDUCAM";"";"";
"A3";"ARDUCAM_OV5642";"ARDUCAM_OV5642";"ARDUCAM";"";"";
"C1";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C2";"10u";"POLARIZED_CAP";"A/3216-18R";"";"";
"C3";"12p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C4";"12p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C6";"470n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C7";"1n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C9";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C10";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C13";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C14";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C18";"1n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C19";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C22";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C24";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"J1";"HDR_10_EZFET_DEBUGGER";"HDR_10_EZFET_DEBUGGER";"HDRV10W66P254_10X1_2540X254H858";"";"";
"J2";"MTI-1_8428-11B1-RK-TP";"MTI-1_8428-11B1-RK-TP";"PLCC-28_SOCKET_TH";"";"";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP2";"";"PINHD-2X8";"2X08";"PIN HEADER";"";
"JP3";"";"PINHD-2X8";"2X08";"PIN HEADER";"";
"JP4";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP5";"";"PINHD-2X6";"2X06";"PIN HEADER";"";
"JP6";"";"JP1Q_";"1X02";"JUMPER";"";
"JP7";"";"PINHD-1X7";"1X07";"PIN HEADER";"";
"JP8";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP9";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";
